X,Y,Y,Y
1,1.008444535,1.020442,1.011897
2,1.011038556,1.02436,1.013176
3,1.013291091,1.028913,1.015417
4,1.015190401,1.032005,1.016563
5,1.013669341,1.029736,1.01585
6,1.014684926,1.028924,1.014033
7,1.016247519,1.031164,1.014678
8,1.015004824,1.032131,1.016873
9,1.012268077,1.027279,1.014829
10,1.010325542,1.022112,1.011666
11,1.011440804,1.022951,1.01138
12,1.011538367,1.025007,1.013315
13,1.014767866,1.029001,1.014026
14,1.013899876,1.029154,1.015045
15,1.015033035,1.029615,1.014366
16,1.017252343,1.033447,1.01592
17,1.020196182,1.0362,1.015687
18,1.021979922,1.040303,1.017929
19,1.02247043,1.040379,1.017515
20,1.018122741,1.033081,1.014692
21,1.017277137,1.032519,1.014983
22,1.016853528,1.030397,1.013319
23,1.018215881,1.032085,1.013621
24,1.015515509,1.029947,1.014211
25,1.015383309,1.028036,1.012461
26,1.018049335,1.029988,1.011727
27,1.018923739,1.032291,1.013119
28,1.019237491,1.032298,1.012814
29,1.021448542,1.034662,1.012936
30,1.019922827,1.033498,1.01331
31,1.019978906,1.034789,1.01452
32,1.022495691,1.036282,1.013483
33,1.022059839,1.036013,1.013652
34,1.024465793,1.036534,1.01178
35,1.024182202,1.038743,1.014217
36,1.02527275,1.038995,1.013384
37,1.026761184,1.038955,1.011876
38,1.029514296,1.041015,1.011171
39,1.026066384,1.037821,1.011456
40,1.024501375,1.03611,1.011331
41,1.024471714,1.036959,1.012189
42,1.025947047,1.037135,1.010905
43,1.028687933,1.040129,1.011122
44,1.028974846,1.040664,1.01136
45,1.027043193,1.038847,1.011493
46,1.02214422,1.034643,1.012228
47,1.020517652,1.033268,1.012494
48,1.021633235,1.033759,1.011869
49,1.01935254,1.030122,1.010565
50,1.017399051,1.026635,1.009078
51,1.017274385,1.026144,1.008719
52,1.018069542,1.024631,1.006445
53,1.013185245,1.020697,1.007414
54,1.015706427,1.023051,1.007231
55,1.016212528,1.021758,1.005457
56,1.014507574,1.02181,1.007198
57,1.014343798,1.020369,1.00594
58,1.014305178,1.019894,1.00551
59,1.015204578,1.020374,1.005092
60,1.011332669,1.017966,1.006559
61,1.0171237,1.021834,1.004631
62,1.014724212,1.020085,1.005283
63,1.015153459,1.020817,1.005579
64,1.017070901,1.021724,1.004575
65,1.013664348,1.018683,1.004951
66,1.012193837,1.018184,1.005918
67,1.014593159,1.019866,1.005197
68,1.01675809,1.020575,1.003754
69,1.017059109,1.022478,1.005328
70,1.020870351,1.02325,1.002331
71,1.018689362,1.021613,1.00287
72,1.015283242,1.018788,1.003452
73,1.017248688,1.019862,1.002569
74,1.019281787,1.024315,1.004938
75,1.018297565,1.02372,1.005325
76,1.021074872,1.02549,1.004324
77,1.01835024,1.023054,1.004619
78,1.023202831,1.024886,1.001645
79,1.021403777,1.024564,1.003094
80,1.020052823,1.021537,1.001455
81,1.022816805,1.02426,1.001411
82,1.018606615,1.023062,1.004374
83,1.024500345,1.029002,1.004394
84,1.022671173,1.02749,1.004712
85,1.021892198,1.024777,1.002823
86,1.024415814,1.026018,1.001564
87,1.023735466,1.026562,1.002761
88,1.024459552,1.026028,1.001531
89,1.023682284,1.02501,1.001297
90,1.022926918,1.024626,1.001661
91,1.024846122,1.026491,1.001605
92,1.02312048,1.023409,1.000282
93,1.025307609,1.025445,1.000134
94,1.025556338,1.026546,1.000965
95,1.023951557,1.024056,1.000102
96,1.023901476,1.02311,0.999227
97,1.022229569,1.020318,0.99813
98,1.024432834,1.021379,0.997019
99,1.025383487,1.023748,0.998405
100,1.021153981,1.020286,0.99915
101,1.021813952,1.020692,0.998902
102,1.022856154,1.022178,0.999337
103,1.020303513,1.020529,1.000221
104,1.019053229,1.018934,0.999883
105,1.021726961,1.020271,0.998575
106,1.023086717,1.019687,0.996677
107,1.021791115,1.020379,0.998618
108,1.02055858,1.018147,0.997637
109,1.017311959,1.016903,0.999598
110,1.02193552,1.017532,0.995691
111,1.017529306,1.015596,0.9981
112,1.017948726,1.014845,0.996951
113,1.018263507,1.015113,0.996906
114,1.021179059,1.019344,0.998203
115,1.019880556,1.014722,0.994942
116,1.018666087,1.012822,0.994263
117,1.016293855,1.01281,0.996572
118,1.017129001,1.010894,0.99387
119,1.021052239,1.014105,0.993196
120,1.017413705,1.013049,0.99571
121,1.019669701,1.013931,0.994372
122,1.015017647,1.012338,0.99736
123,1.018188076,1.014657,0.996532
124,1.019513537,1.015776,0.996334
125,1.018224696,1.012934,0.994804
126,1.01930942,1.011369,0.99221
127,1.017763788,1.011359,0.993707
128,1.018856101,1.012961,0.994214
129,1.016342465,1.009597,0.993363
130,1.018789342,1.011234,0.992584
131,1.018982492,1.013266,0.99439
132,1.016785365,1.010948,0.994259
133,1.016735092,1.010168,0.993541
134,1.016197898,1.010558,0.99445
135,1.017694607,1.010873,0.993297
136,1.01805778,1.011474,0.993533
137,1.018713978,1.013326,0.994711
138,1.017120132,1.010993,0.993976
139,1.018405847,1.010834,0.992565
140,1.016479565,1.007871,0.991531
141,1.014563811,1.00775,0.993284
142,1.018869677,1.00906,0.990372
143,1.018817354,1.009215,0.990575
144,1.017019787,1.008129,0.991258
145,1.019775624,1.00943,0.989855
146,1.016099036,1.006945,0.990991
147,1.014983656,1.009791,0.994884
148,1.020099387,1.010589,0.990677
149,1.024066816,1.011437,0.987667
150,1.016315538,1.00644,0.990283
151,1.015189682,1.006322,0.991265
152,1.016027061,1.004739,0.98889
153,1.014149609,1.004,0.989992
154,1.014791315,1.004067,0.989432
155,1.012464036,1.002226,0.989888
156,1.016103739,1.004321,0.988404
157,1.017751402,1.006491,0.988936
158,1.018069722,1.008113,0.99022
159,1.019626621,1.009308,0.98988
160,1.017362097,1.006809,0.989627
161,1.016487006,1.003416,0.987141
162,1.019294625,1.007481,0.98841
163,1.017038173,1.007895,0.99101
164,1.014154442,1.00488,0.990855
165,1.015777471,1.005768,0.990146
166,1.015847723,1.00343,0.987776
167,1.017765889,1.005971,0.988411
168,1.02159666,1.008557,0.987236
169,1.015450425,1.001292,0.986057
170,1.014964282,1.00294,0.988153
171,1.016914326,1.003187,0.986501
172,1.015313863,1.003853,0.988712
173,1.021629384,1.007394,0.986066
174,1.012913347,1.001434,0.988667
175,1.016713821,1.002247,0.985771
176,1.015265566,1.001461,0.986403
177,1.014254347,1.00192,0.987839
178,1.015966188,1.003355,0.987587
179,1.019941305,1.004735,0.985091
180,1.014575647,1.001862,0.987469
181,1.017861467,1.0045,0.986873
182,1.017250659,1.001762,0.984774
183,1.019330789,1.00463,0.985578
184,1.023512686,1.007159,0.984022
185,1.017834692,1.003071,0.985495
186,1.018405119,1.004842,0.986682
187,1.015279601,1.002349,0.987264
188,1.017876113,1.000332,0.982764
189,1.015520823,0.996885,0.981649
190,1.019248647,0.998828,0.979965
191,1.020454,0.99955,0.979515
192,1.018793793,1.001946,0.983463
193,1.015977009,1.00116,0.985416
194,1.012125905,0.99736,0.985411
195,1.016417058,1.001926,0.985743
196,1.018449025,1.001721,0.983575
197,1.017236136,1.000113,0.983167
198,1.014560489,0.998988,0.984651
199,1.013670803,0.997002,0.983556
200,1.014961952,0.998074,0.983361
201,1.014475723,0.999708,0.985443
202,1.015459767,1.001353,0.986108
203,1.01837371,1.000709,0.982654
204,1.017207602,0.999497,0.982589
205,1.014865396,1.000092,0.985443
206,1.014365306,1.000998,0.986822
207,1.018517125,1.001404,0.983198
208,1.017422325,1.001052,0.98391
209,1.013954449,0.996701,0.982984
210,1.020699585,1.003856,0.983498
211,1.019428532,1.003502,0.984377
212,1.014655889,0.996594,0.982199
213,1.017726204,1.000433,0.983008
214,1.013271399,0.996673,0.983619
215,1.016995281,1.000343,0.983626
216,1.016768176,0.998809,0.982337
217,1.016206033,0.99896,0.983029
218,1.014523434,0.997309,0.983032
219,1.014118097,0.998021,0.984127
220,1.017451797,0.997175,0.980071
221,1.017525249,0.999512,0.982297
222,1.018332997,0.997781,0.979818
223,1.015143133,0.992677,0.977869
224,1.009091989,0.985231,0.976354
225,1.011177629,0.98371,0.972836
226,1.012838275,0.98694,0.97443
227,1.014674722,0.99077,0.976441
228,1.015596435,0.993298,0.978044
229,1.017835611,0.996914,0.979445
230,1.018749681,0.997468,0.97911
231,1.014957304,0.995326,0.980658
232,1.019294053,0.995835,0.976985
233,1.014103827,0.986218,0.972502
234,1.011844261,0.988329,0.97676
235,1.014052449,0.991722,0.977979
236,1.014351428,0.994955,0.980878
237,1.014710507,0.993775,0.979368
238,1.017978978,0.995332,0.977753
239,1.017247163,0.997597,0.980683
240,1.019194471,0.998408,0.979605
241,1.018432531,0.99796,0.979898
242,1.018663048,0.995354,0.977118
243,1.015642547,0.992103,0.976823
244,1.01219892,0.991296,0.979349
245,1.012628887,0.990828,0.978471
246,1.019326331,0.998159,0.979234
247,1.019695119,0.99929,0.979989
248,1.024691017,1.000454,0.976347
249,1.020362819,0.997923,0.978008
250,1.016517027,0.996206,0.980019
251,1.020071118,0.995721,0.976129
252,1.019842474,0.994428,0.97508
253,1.016204917,0.994199,0.978345
254,1.012837859,0.990364,0.977811
255,1.013632465,0.990325,0.977006
256,1.014552086,0.990284,0.97608
257,1.017696112,0.98974,0.97253
258,1.015559216,0.991395,0.976206
259,1.013170913,0.986177,0.973357
260,1.011134767,0.982642,0.971821
261,1.014184644,0.990258,0.976408
262,1.015380954,0.98977,0.974777
263,1.016102773,0.99359,0.977844
264,1.016796876,0.993559,0.977146
265,1.017496648,0.995535,0.978416
266,1.018055541,0.993103,0.97549
267,1.020886754,0.998122,0.977701
268,1.019915043,0.995945,0.976498
269,1.017963703,0.9918,0.974298
270,1.022419791,0.996937,0.975076
271,1.021310403,0.996274,0.975486
272,1.018729322,0.994888,0.976597
273,1.022637,0.993544,0.971551
274,1.014314317,0.990412,0.976435
275,1.016849483,0.991172,0.974748
276,1.020492384,0.993831,0.973874
277,1.02102079,0.995385,0.974892
278,1.012933021,0.9892,0.97657
279,1.019325136,0.991679,0.972878
280,1.016875808,0.992363,0.975894
281,1.021203706,0.994729,0.974075
282,1.02458354,0.994053,0.970202
283,1.019950048,0.992749,0.973331
284,1.016429817,0.990396,0.974387
285,1.013783331,0.986545,0.973132
286,1.017456852,0.988848,0.971882
287,1.017334495,0.991776,0.974877
288,1.014136663,0.989196,0.975407
289,1.016789215,0.991219,0.974852
290,1.017803044,0.99276,0.975395
291,1.018629986,0.99337,0.975202
292,1.023159058,0.994263,0.971758
293,1.022557714,0.993831,0.971907
294,1.019699329,0.992869,0.973688
295,1.011346602,0.984999,0.973948
296,1.019015651,0.990579,0.972094
297,1.016543683,0.989404,0.973302
298,1.012445318,0.985004,0.972896
299,1.0144543,0.985658,0.971614
300,1.017924684,0.988242,0.97084
301,1.01881248,0.989488,0.971217
302,1.020651335,0.990635,0.970591
303,1.017833311,0.988422,0.971104
304,1.021650955,0.991406,0.970396
305,1.017826827,0.989232,0.971906
306,1.017534309,0.988733,0.971695
307,1.021373911,0.99328,0.972494
308,1.013327274,0.983349,0.970416
309,1.016677322,0.985994,0.96982
310,1.017160822,0.986172,0.969534
311,1.01989351,0.989722,0.970417
312,1.017436189,0.988716,0.971772
313,1.013595711,0.98566,0.972439
314,1.016764098,0.987039,0.970765
315,1.015499515,0.983886,0.968869
316,1.010733988,0.97872,0.968326
317,1.016193934,0.98112,0.965485
318,1.015521376,0.982456,0.96744
319,1.015994827,0.985135,0.969626
320,1.019477094,0.98948,0.970576
321,1.014285494,0.987128,0.973225
322,1.016817547,0.987521,0.971188
323,1.020464273,0.990631,0.970765
324,1.017131084,0.988805,0.972151
325,1.017852568,0.989199,0.971849
326,1.021646132,0.988224,0.967286
327,1.01519465,0.984217,0.969486
328,1.013814447,0.982445,0.969058
329,1.022751307,0.989382,0.967373
330,1.020977621,0.989458,0.969128
331,1.01338703,0.982121,0.969147
332,1.011132055,0.983787,0.972956
333,1.021595463,0.99196,0.970991
334,1.020019,0.989957,0.970528
335,1.023134027,0.990538,0.968141
336,1.026385914,0.992975,0.967448
337,1.021941113,0.98705,0.965858
338,1.025151154,0.992741,0.968385
339,1.017365501,0.984997,0.968184
340,1.016488533,0.987481,0.971463
341,1.020642837,0.987178,0.967212
342,1.023575167,0.98853,0.965762
343,1.019323587,0.987537,0.968816
344,1.012593283,0.978719,0.966547
345,1.009218515,0.973582,0.964689
346,1.011097613,0.972958,0.962279
347,1.015146694,0.979378,0.964765
348,1.014163945,0.980157,0.966468
349,1.016595092,0.982162,0.966129
350,1.022482177,0.988046,0.966321
351,1.02080622,0.987531,0.967403
352,1.023241301,0.985409,0.963027
353,1.01685388,0.986453,0.970103
354,1.014340918,0.982518,0.968627
355,1.020560105,0.988737,0.968818
356,1.026044485,0.98986,0.964734
357,1.018715135,0.985776,0.967666
358,1.020415175,0.986018,0.966291
359,1.018380302,0.980355,0.962661
360,1.019684086,0.981035,0.962097
361,1.010694583,0.974633,0.96432
362,1.013042283,0.976902,0.964325
363,1.018980569,0.983625,0.965303
364,1.024078859,0.988402,0.965162
365,1.020516769,0.984715,0.964918
366,1.025407402,0.990481,0.965939
367,1.016495908,0.983904,0.967937
368,1.022629981,0.98779,0.965931
369,1.028323208,0.9919,0.96458
370,1.021944194,0.986635,0.965449
371,1.013242768,0.983344,0.970492
372,1.018756833,0.983136,0.965035
373,1.022183228,0.985632,0.964242
374,1.022007348,0.984979,0.963769
375,1.018293961,0.981169,0.963542
376,1.026829968,0.988215,0.962394
377,1.025771182,0.984727,0.959987
378,1.016945791,0.97417,0.957937
379,1.019680818,0.974822,0.956007
380,1.022013608,0.974259,0.953274
381,1.016726555,0.973353,0.95734
382,1.018713725,0.976758,0.958815
383,1.027377014,0.986397,0.960112
384,1.026138118,0.985933,0.960819
385,1.024399869,0.98641,0.962915
386,1.024193071,0.985793,0.962507
387,1.02450004,0.985442,0.961876
388,1.019190088,0.98238,0.963883
389,1.024163615,0.987814,0.964508
390,1.024353601,0.990006,0.966469
391,1.02895535,0.990955,0.963069
392,1.027226595,0.989664,0.963433
393,1.022095805,0.984405,0.963124
394,1.016966324,0.978705,0.962377
395,1.024030599,0.984971,0.961857
396,1.020210954,0.985131,0.965615
397,1.021365635,0.983331,0.962761
398,1.021244701,0.983043,0.962593
399,1.025130152,0.988492,0.96426
400,1.023513246,0.986938,0.964265
401,1.026706851,0.987923,0.962225
402,1.026477531,0.987534,0.962061
403,1.026278593,0.986733,0.961467
404,1.02503211,0.986413,0.962324
405,1.021798441,0.986481,0.965436
406,1.021713763,0.986764,0.965793
407,1.019947649,0.982333,0.963121
408,1.021779463,0.985258,0.964257
409,1.025703965,0.98616,0.961447
410,1.023134403,0.984198,0.961944
411,1.018803513,0.980957,0.962852
412,1.015884014,0.977893,0.962603
413,1.018825051,0.979693,0.961591
414,1.022179409,0.985245,0.963867
415,1.022822522,0.98354,0.961594
416,1.01496538,0.977299,0.962889
417,1.018236897,0.985189,0.967544
418,1.020625419,0.982799,0.962938
419,1.024235141,0.984418,0.961125
420,1.025489798,0.984824,0.960345
421,1.017883994,0.97884,0.961642
422,1.020919069,0.980897,0.960798
423,1.02030125,0.984706,0.965113
424,1.023111987,0.983316,0.961103
425,1.025404573,0.984857,0.960457
426,1.021472993,0.980563,0.95995
427,1.027936357,0.987632,0.960791
428,1.02390822,0.985312,0.962305
429,1.021998209,0.984729,0.963533
430,1.024752733,0.984896,0.961106
431,1.021871417,0.981204,0.960203
432,1.023475609,0.983819,0.961253
433,1.02021063,0.979089,0.959693
434,1.016196689,0.979199,0.963592
435,1.021969194,0.982094,0.960982
436,1.025240964,0.984868,0.960621
437,1.024865005,0.981628,0.957812
438,1.020539377,0.980622,0.960886
439,1.021686097,0.981683,0.960846
440,1.014715116,0.977677,0.963499
441,1.022178867,0.983932,0.962583
442,1.023693919,0.981443,0.958727
443,1.01872891,0.979081,0.961081
444,1.025189054,0.980295,0.956209
445,1.020423757,0.980266,0.960646
446,1.021798647,0.977847,0.956986
447,1.02177786,0.980168,0.959277
448,1.018176588,0.976916,0.959476
449,1.020812064,0.978872,0.958915
450,1.020972922,0.978722,0.958617
451,1.024653556,0.980824,0.957225
452,1.022819857,0.984728,0.962758
453,1.011956486,0.973575,0.962072
454,1.020373777,0.978015,0.958487
455,1.014885942,0.974597,0.960302
456,1.012459406,0.971146,0.959195
457,1.010381916,0.965233,0.955315
458,1.008378835,0.962546,0.954548
459,1.009636852,0.964602,0.955395
460,1.014627162,0.971609,0.957602
461,1.012156187,0.971675,0.960005
462,1.018129196,0.978301,0.960881
463,1.021883629,0.981462,0.960444
464,1.02804882,0.984586,0.957723
465,1.01522022,0.974584,0.959973
466,1.022800335,0.981201,0.959328
467,1.021005112,0.976135,0.956053
468,1.017116319,0.977224,0.960779
469,1.021033905,0.976234,0.956123
470,1.01537369,0.973719,0.958976
471,1.020322215,0.975878,0.956441
472,1.017950786,0.976793,0.959568
473,1.024955413,0.981567,0.957668
474,1.023888971,0.978844,0.956006
475,1.012494069,0.968809,0.956854
476,1.015447358,0.966582,0.951878
477,1.017928577,0.97026,0.953171
478,1.020254784,0.977551,0.958144
479,1.018188617,0.972139,0.954773
480,1.021767099,0.979234,0.958373
481,1.020393442,0.97609,0.956582
482,1.019885956,0.974961,0.955951
483,1.019412605,0.977423,0.95881
484,1.020335035,0.975827,0.956379
485,1.0257136,0.979178,0.954631
486,1.016239919,0.97338,0.957825
487,1.019615455,0.977072,0.958275
488,1.008069746,0.966878,0.959138
489,1.023537139,0.975479,0.953047
490,1.018876023,0.975639,0.957564
491,1.018235047,0.976297,0.958813
492,1.013767409,0.970587,0.957406
493,1.011679484,0.965469,0.954323
494,1.010082989,0.965305,0.955669
495,1.012950093,0.966324,0.95397
496,1.020489407,0.9741,0.954542
497,1.024891349,0.980079,0.956276
498,1.019106391,0.972521,0.954288
499,1.021692829,0.976675,0.955938
500,1.018839084,0.972487,0.954505
501,1.013119417,0.965209,0.95271
502,1.014691953,0.968422,0.9544
503,1.017763787,0.966383,0.949516
504,1.005099403,0.950817,0.945993
505,0.99787079,0.938253,0.940255
506,1.005638662,0.946131,0.940826
507,1.009109326,0.953906,0.945295
508,1.010712923,0.963925,0.953708
509,1.011063518,0.965414,0.95485
510,1.009363141,0.96364,0.954701
511,1.016412934,0.966875,0.951262
512,1.021246251,0.971677,0.951462
513,1.024105353,0.975573,0.95261
514,1.019997295,0.972699,0.953629
515,1.022355816,0.975124,0.953801
516,1.016281979,0.974838,0.95922
517,1.025586585,0.976702,0.952335
518,1.026226369,0.978513,0.953506
519,1.014688718,0.969323,0.955291
520,1.012995875,0.972317,0.959843
521,1.025761046,0.979132,0.954542
522,1.033450275,0.984473,0.952608
523,1.02661416,0.981245,0.955807
524,1.020639347,0.97577,0.956038
525,1.026277103,0.980148,0.955052
526,1.022611583,0.973923,0.952388
527,1.019460421,0.973967,0.955375
528,1.017154723,0.975251,0.958803
529,1.02165856,0.976112,0.955419
530,1.024920789,0.979813,0.955989
531,1.016349732,0.973536,0.957875
532,1.023506567,0.974585,0.952202
533,1.022989557,0.973483,0.951606
534,1.023476187,0.973681,0.951347
535,1.017671882,0.970918,0.954058
536,1.019963227,0.974122,0.955056
537,1.013317324,0.97053,0.957775
538,1.019835828,0.973418,0.954485
539,1.021530341,0.975444,0.954885
540,1.017278767,0.972018,0.955508
541,1.017247477,0.972159,0.955676
542,1.018587033,0.969922,0.952223
543,1.01322447,0.967218,0.954594
544,1.015497378,0.965541,0.950806
545,1.008824874,0.95774,0.949362
546,1.004599158,0.954544,0.950174
547,1.012385335,0.963804,0.952013
548,1.023661702,0.977081,0.954496
549,1.02342462,0.975251,0.952929
550,1.019343545,0.971308,0.952876
551,1.021545466,0.972403,0.951894
552,1.016989802,0.972766,0.956515
553,1.020365121,0.973412,0.953984
554,1.022778326,0.973911,0.952221
555,1.026001115,0.976869,0.952113
556,1.021879378,0.971607,0.950804
557,1.010971606,0.965765,0.955284
558,1.016338463,0.968536,0.952966
559,1.020550626,0.972498,0.952915
560,1.027540406,0.977231,0.951039
561,1.022571191,0.97454,0.953029
562,1.021938605,0.97095,0.950106
563,1.012619423,0.96452,0.9525
564,1.022070902,0.97623,0.955149
565,1.02142587,0.972377,0.95198
566,1.022956706,0.972082,0.950267
567,1.025624965,0.977517,0.953094
568,1.037561439,0.983491,0.947887
569,1.023094928,0.975609,0.953586
570,1.01901299,0.971367,0.953243
571,1.020376116,0.971445,0.952046
572,1.017158967,0.966537,0.950232
573,1.028372001,0.975634,0.948717
574,1.0209844,0.972943,0.952946
575,1.022846703,0.973613,0.951866
576,1.022845619,0.972315,0.950598
577,1.020920265,0.973766,0.953812
578,1.021033176,0.968937,0.948977
579,1.029124741,0.977368,0.949708
580,1.024626339,0.973935,0.950527
581,1.019171498,0.968536,0.950317
582,1.010890594,0.962475,0.952106
583,1.006866465,0.95181,0.945319
584,1.009121113,0.949144,0.940565
585,1.007093735,0.952757,0.946046
586,1.010462023,0.957049,0.94714
587,1.009343595,0.960776,0.951882
588,1.013272566,0.962461,0.949854
589,1.021995912,0.966105,0.945312
590,1.023911714,0.973096,0.950371
591,1.027963318,0.972185,0.945739
592,1.015920837,0.966095,0.950955
593,1.019097686,0.969274,0.95111
594,1.029702438,0.976993,0.948811
595,1.013622418,0.963068,0.950125
596,1.01815063,0.969257,0.951978
597,1.012022275,0.959724,0.948323
598,1.015927392,0.962642,0.94755
599,1.01655128,0.96396,0.948265
600,1.02792021,0.973682,0.947235
601,1.027331178,0.971318,0.945477
602,1.019391919,0.968931,0.950499
603,1.022546497,0.97445,0.952964
604,1.028451879,0.977272,0.950236
605,1.028365193,0.976043,0.949121
606,1.011118459,0.961696,0.951121
607,1.011404442,0.958775,0.947964
608,1.01786554,0.965419,0.948474
609,1.011740779,0.957643,0.94653
610,1.012785885,0.953545,0.941507
611,1.016326345,0.962458,0.946997
612,1.021755903,0.964088,0.94356
613,1.018043623,0.963167,0.946096
614,1.028195435,0.973443,0.946749
615,1.020999127,0.971205,0.95123
616,1.018287654,0.969307,0.951899
617,1.023704262,0.972301,0.949787
618,1.022564717,0.969602,0.948206
619,1.024487449,0.972716,0.949466
620,1.01853465,0.97047,0.95281
621,1.033319175,0.977987,0.946452
622,1.022624843,0.974992,0.953421
623,1.020846329,0.970489,0.950671
624,1.02591246,0.971258,0.946726
625,1.024800503,0.97383,0.950263
626,1.0252233,0.970014,0.946149
627,1.021106281,0.968069,0.948059
628,1.022144316,0.970894,0.94986
629,1.018568624,0.968617,0.950959
630,1.023926852,0.969114,0.946468
631,1.01939649,0.968234,0.949811
632,1.016676546,0.967323,0.951456
633,1.017120346,0.967433,0.951149
634,1.02260256,0.970729,0.949273
635,1.024344677,0.978158,0.954911
636,1.021108138,0.970743,0.950676
637,1.024566354,0.973128,0.949795
638,1.023532905,0.972171,0.949819
639,1.018179784,0.964482,0.947261
640,1.013888889,0.962797,0.949608
641,1.01797889,0.965894,0.948835
642,1.017404629,0.966745,0.950207
643,1.015847605,0.962605,0.947588
644,1.014786543,0.959297,0.945319
645,1.004505634,0.949074,0.944817
646,1.013839836,0.959936,0.946832
647,1.018908821,0.961315,0.943475
648,1.018101451,0.960707,0.943626
649,1.014621362,0.960886,0.947039
650,1.024814892,0.970099,0.946609
651,1.012835619,0.961023,0.948844
652,1.005605689,0.94431,0.939046
653,0.998817013,0.92875,0.92985
654,0.993971786,0.926333,0.931951
655,0.997940735,0.93239,0.934314
656,1.010457221,0.948884,0.939064
657,1.013531567,0.955141,0.942389
658,1.016083717,0.960192,0.944993
659,1.03214537,0.971127,0.940882
660,1.029761716,0.972266,0.944166
661,1.022856298,0.968246,0.94661
662,1.023443938,0.967481,0.945319
663,1.026596997,0.972135,0.946949
664,1.031051573,0.973788,0.944461
665,1.020438183,0.964959,0.945632
666,1.024925739,0.96922,0.945649
667,1.020878976,0.965042,0.945305
668,1.015566526,0.959034,0.944334
669,1.020173983,0.962577,0.943542
670,1.016433424,0.96272,0.947155
671,1.02640583,0.97075,0.945776
672,1.016978392,0.96089,0.944848
673,1.018801703,0.964306,0.94651
674,1.020452966,0.960334,0.941086
675,1.02675363,0.966898,0.941704
676,1.021233854,0.964874,0.944812
677,1.018603245,0.967121,0.949458
678,1.027683894,0.969963,0.943834
679,1.021251212,0.965592,0.945499
680,1.022919556,0.969784,0.948055
681,1.017518398,0.964698,0.948089
682,1.014930797,0.957981,0.943888
683,1.018251677,0.957236,0.940078
684,1.012109913,0.951691,0.940304
685,1.009689494,0.949512,0.9404
686,1.016849476,0.956351,0.940504
687,1.018132404,0.962016,0.944883
688,1.021217037,0.9675,0.947399
689,1.028118498,0.972889,0.946281
690,1.019738441,0.965005,0.946326
691,1.020828053,0.966667,0.946944
692,1.022855613,0.966708,0.945107
693,1.020665283,0.966964,0.947386
694,1.023053253,0.965484,0.943728
695,1.014601465,0.959675,0.945864
696,1.015064223,0.958987,0.944755
697,1.020844091,0.960845,0.941226
698,1.02075097,0.963839,0.944245
699,1.019317725,0.963928,0.94566
700,1.014558208,0.960116,0.946339
701,1.019801005,0.962839,0.944144
702,1.019367534,0.95418,0.936051
703,1.014809935,0.953624,0.939707
704,1.017480031,0.951412,0.935067
705,1.023702716,0.960961,0.938711
706,1.014501216,0.953831,0.940197
707,1.014781074,0.956626,0.942692
708,1.025013856,0.965356,0.941798
709,1.021065888,0.96567,0.945747
710,1.023734001,0.967272,0.944847
711,1.017893591,0.963477,0.94654
712,1.017292517,0.963787,0.947404
713,1.025887938,0.969896,0.945421
714,1.032495308,0.972052,0.941459
715,1.024946547,0.968801,0.945221
716,1.026079745,0.967546,0.942954
